,delta ,theta ,alpha ,beta ,gamma

Left Ear_Halima_Halima_Francais1
min,0.253741761261203,0.433116110996304,0.366436201487603,0.543560895344191,0.62781842180161
Q1,0.414204163057511,0.553554750203254,0.560836085550564,0.725315482807996,0.772974503383936
Q2,0.494936045211581,0.594994851927103,0.638447928904659,0.794205423959842,0.810679076707254
Q3,0.565205455638691,0.640847449320532,0.695723560687884,0.848237118645345,0.884675145304022
max,0.928761876175888,0.810732125371939,0.934323025782514,0.935921216301386,0.9496512472006
mean,0.507935082022609,0.60156448277738,0.631958023444954,0.786480111498095,0.816066337208324
Std Dev,0.140497678742641,0.0743928983932543,0.103335105646147,0.0865171172090578,0.0750418690370947

Left Forehead_Halima_Halima_Francais1
min,0.292840707663585,0.27251352661416,0.154822209556427,0.234161109547743,0.292999127906682
Q1,0.415696540168221,0.384168683928144,0.291879798175393,0.457000066979423,0.452287225394704
Q2,0.508260056054866,0.461720420505368,0.371820521058704,0.551356916817012,0.52768481448361
Q3,0.684683892626328,0.543590590566313,0.41176498551659,0.62204701334792,0.578553137209479
max,0.916988645162922,0.776873389445968,0.57622522049171,0.728318708415961,0.687205412320732
mean,0.556023198763731,0.473010303156707,0.357342967907267,0.524558346441506,0.51935609255079
Std Dev,0.175562216897238,0.121353531345701,0.0911906134507311,0.120985527714863,0.0910465566973264

Right Forehead_Halima_Halima_Francais1
min,0.0758463760954559,0.105281620655148,0.0513086868601758,0,0
Q1,0.20037903553375,0.245814759420869,0.199100862932537,0.17307600904845,0.126860440549523
Q2,0.332087470465504,0.32155398111242,0.251565597905069,0.223620764373896,0.195903223884334
Q3,0.675045201087407,0.573447241408202,0.33843498948662,0.285488158063968,0.306321084181752
max,0.91279010151628,0.80274667953303,0.577880636913748,0.507692006409943,0.417082147050003
mean,0.43541711261946,0.400962968589751,0.276496220693636,0.232749553005914,0.214107502909928
Std Dev,0.259455194267372,0.186803029930377,0.111843069827054,0.0929525025845372,0.112506860558033

Right Ear_Halima_Halima_Francais1
min,0.315085375435882,0.456306017681266,0.448278545613065,0.617446943944627,0.394751866160321
Q1,0.505829355438281,0.67108597719484,0.563628878279193,0.713746418235148,0.715770850933007
Q2,0.675154010864457,0.759064860949875,0.709074611737792,0.785879163348854,0.79033033014991
Q3,0.749667620768035,0.870973016512914,0.839277151934289,0.813638584804484,0.886482139382677
max,0.831314980161099,1,1,1,1
mean,0.638446273825402,0.756049077045362,0.711704511816466,0.776716876667065,0.793939089162562
Std Dev,0.14562293925064,0.138925173296549,0.141874538726724,0.086692459421054,0.112255934100087

Left Ear_Halima_Halima_Francais2
min,0.25737021941117,0.399451178956566,0.397568006658408,0.558528012337415,0.480458747978191
Q1,0.374388604419237,0.527781711277772,0.567251340082594,0.681181561962816,0.621224209285543
Q2,0.407756922010292,0.555690450700119,0.631380259163276,0.735285368890244,0.684616844496354
Q3,0.460148593982029,0.590446879625549,0.705211869936012,0.779911015178658,0.762055407250362
max,0.955404566133155,0.762498696543037,0.857210449384957,0.91251450942895,0.979199452093088
mean,0.431848183723894,0.563314285436116,0.635500076047541,0.737507737985111,0.694358342561617
Std Dev,0.115368892382808,0.0690458675403321,0.103643422257808,0.0752718718314773,0.0997290154623665

Left Forehead_Halima_Halima_Francais2
min,0,0.137754286804046,0.0744215317248626,0.461523916481441,0.411230050029823
Q1,0.24887488534657,0.25320391304952,0.191688427232319,0.552266570267977,0.556180387578131
Q2,0.307593795820515,0.306085187203989,0.255272023026923,0.624032891102728,0.60717984225647
Q3,0.417867600056198,0.354039520703367,0.30466727438377,0.65753162548373,0.658521244592201
max,1,0.837470027940827,0.545991468092346,0.918262564296016,0.806562635512771
mean,0.366184044466669,0.342774844345062,0.255984994275864,0.610317217586056,0.607534673444158
Std Dev,0.223582965667871,0.148531740854943,0.0976164097093452,0.0810348387052592,0.0775305532785835

Right Forehead_Halima_Halima_Francais2
min,0.00518193861708323,0,0,0.175775331059263,0.0979187462142903
Q1,0.120779627171797,0.178537559845858,0.128229872454921,0.295961967933392,0.209868385068408
Q2,0.160669811861509,0.22877356425729,0.1741626456633,0.326356435308055,0.24512401756858
Q3,0.236686156146322,0.284356620162452,0.250350691008843,0.37256630399405,0.31441381614704
max,0.981994866054674,0.834502598028626,0.555177213095889,0.837743734199248,0.845640965181107
mean,0.279491927153846,0.294746497594131,0.190490039470939,0.341824423709138,0.279230017032793
Std Dev,0.281198074063475,0.201434497138801,0.102088732377437,0.0995541276114677,0.12711594597281

Right Ear_Halima_Halima_Francais2
min,0.288146958408385,0.345044600301698,0.232973742422745,0.503859209154241,0.426261637306504
Q1,0.354365539203734,0.477413440678207,0.581073557701619,0.647212799005916,0.591221634697324
Q2,0.39319932673086,0.540271543009535,0.636906288234846,0.696383236837394,0.661809865554686
Q3,0.473688995763532,0.589500768252598,0.697360242757398,0.740293342910288,0.712953960385881
max,0.932216914034952,0.749954465158311,0.903217471989073,0.977578920722406,0.847799351278674
mean,0.425938740596865,0.534024575833829,0.63963476400192,0.693378285912192,0.65391429366044
Std Dev,0.120105426565548,0.0843701395728246,0.122853952088866,0.081844442480344,0.0972544406686048

Left Ear_Halima_Halima_Francais3
min,0.267445646226532,0.454608049606284,0.449208300917448,0.651477602657376,0.530682464583417
Q1,0.399110371602833,0.536671166690007,0.610513244742103,0.72920820976037,0.658571278576297
Q2,0.451420265278723,0.582226088787521,0.702447029217454,0.762244182962787,0.70469279367842
Q3,0.518745734326791,0.651600809072828,0.761595080438923,0.803893742281506,0.765464285332517
max,0.833787279856954,0.776745865810787,0.908850058825456,0.922279293409286,0.883208197006169
mean,0.466836364833952,0.597119716253593,0.688710034982996,0.769469682689375,0.712411797766068
Std Dev,0.116795537679309,0.0796502781582183,0.114112550304448,0.0581365336705955,0.0785506349974934

Left Forehead_Halima_Halima_Francais3
min,0.109730945330596,0.161361955404132,0.0957535698928496,0.46784872885111,0.408240039947081
Q1,0.235500230802062,0.256755125896899,0.219697005598063,0.602826906612393,0.571208886337275
Q2,0.314125508073235,0.360531244911209,0.288399028751997,0.651363009493966,0.627879932066659
Q3,0.471680230045111,0.430276278111501,0.355841163845274,0.696639386261486,0.678021786701803
max,0.981352508580955,0.807992136824851,0.639318675678185,0.934218679271241,0.772701494689037
mean,0.374308971119102,0.371213134917802,0.295732562329081,0.651514901608604,0.617235147057079
Std Dev,0.203282862892112,0.147707428678371,0.108230322636316,0.0743125959123366,0.082316378188683

Right Forehead_Halima_Halima_Francais3
min,0.00723586755990594,0.11174237111181,0.0526346142553672,0.221066383054205,0.12443654711594
Q1,0.162178100127435,0.208512469021126,0.180238369445961,0.352913541361072,0.223353935240797
Q2,0.223431436534317,0.28274798941647,0.242751371524896,0.39634364812939,0.267289092029682
Q3,0.624271312942668,0.490974437416053,0.293664096305283,0.456152221513809,0.30752364562524
max,0.985653127798723,0.800194381337693,0.581099284051435,0.535082897094644,0.430298037130717
mean,0.362574545287924,0.360655725506159,0.244658093727495,0.400391713201221,0.268292794607526
Std Dev,0.279629222033093,0.191667442832139,0.0934710183697325,0.0716651262594436,0.0701200974387108

Right Ear_Halima_Halima_Francais3
min,0.211895309068834,0.362432766488353,0.336823095565523,0.568281772343085,0.457844557552242
Q1,0.383545460047181,0.487410887597658,0.598784448917801,0.703538428343389,0.627986632219878
Q2,0.441227822459472,0.562516504400944,0.664984259263241,0.744461247930925,0.682471657747418
Q3,0.552686340809608,0.607630935348795,0.738135114752714,0.793073676038372,0.737130875664035
max,0.941141842529121,0.880651102971405,0.938476906772904,0.954684161616159,0.954886512000471
mean,0.478086285153724,0.562565330091214,0.670766865609683,0.753056416825857,0.690248048741642
Std Dev,0.161492247982561,0.103406833448526,0.128422337681401,0.0751254186748537,0.0896918284144508

Left Ear_Halima_Halima_Francais4
min,0.292711691405195,0.404693577618399,0.413270484887959,0.484537692384244,0.315611757818507
Q1,0.413177621647229,0.513937327442136,0.663919138160798,0.648370316345873,0.494237762584786
Q2,0.444580421571645,0.577294236069533,0.73393188117288,0.716529585648184,0.589230743782385
Q3,0.557492253422317,0.636508724006255,0.784273987753052,0.763623022392859,0.707905177023812
max,0.886007009354063,0.791918198002741,0.946280048798891,0.905892330608888,0.873333003544682
mean,0.488422015039287,0.579700191086597,0.716691761538946,0.704742297715492,0.600526195897153
Std Dev,0.131105099457082,0.0818864786468952,0.111305186189768,0.0973673459093088,0.127986762742297

Left Forehead_Halima_Halima_Francais4
min,0.0550890112116376,0.139306416718852,0.170755492178491,0.532335820910771,0.451224401488866
Q1,0.182841023858314,0.254146304517425,0.25611981468299,0.608580508574992,0.567805340011709
Q2,0.272961683365102,0.289174428079967,0.302616573852297,0.653600174187226,0.635313766202786
Q3,0.459818890273645,0.392351670323052,0.353716541717872,0.684397999666795,0.686332174625588
max,0.965026753458565,0.761803083613146,0.459163535425202,0.777438730872851,0.806519071160146
mean,0.348616111505338,0.333563091833123,0.305670418764695,0.646340132330975,0.633333353330085
Std Dev,0.219133756282114,0.140856476967326,0.0662345590903291,0.0508156004768466,0.0866364716777216

Right Forehead_Halima_Halima_Francais4
min,0.0656153671009213,0.152095275169218,0.12554846774454,0.263949082774764,0.100492415030071
Q1,0.161354119999547,0.198837586486861,0.204201589102247,0.345748028044402,0.242622285853053
Q2,0.223421178750768,0.271748984607491,0.244653153699404,0.40246392012834,0.294158459857868
Q3,0.462070278652091,0.380083661912528,0.297859340335484,0.438640602648255,0.319240993499236
max,0.937541418457282,0.771990534415679,0.390475628664105,0.529831201953156,0.408820811286845
mean,0.336045144025363,0.323597560176401,0.250822817760912,0.397571019275615,0.284889968492354
Std Dev,0.252153154664648,0.167986208141722,0.0661433723484834,0.0663796195377463,0.0575841010608402

Right Ear_Halima_Halima_Francais4
min,0.263912908071822,0.323981916753629,0.396743941682022,0.554834699958621,0.453649440437348
Q1,0.367482541793301,0.467533376601212,0.587030223498383,0.701502574066487,0.595901356469099
Q2,0.446974344846762,0.521431477579441,0.657647889554073,0.754643889702592,0.657920219079537
Q3,0.554147002824008,0.567351334097283,0.739046653883935,0.825509650110068,0.740464068811182
max,0.823449404462064,0.837027476593378,0.904034962707476,0.931338894092977,0.904064858400119
mean,0.473594513669398,0.519379479114391,0.653279451547162,0.755963276562179,0.667311546570133
Std Dev,0.137139968381407,0.0870266527321338,0.114567664651238,0.0868180724985924,0.111576068437262

